index,good/bad/unsolvable,reply
0,bad,"['U', 'n', 'a', 'b', 'l']"
1,bad,"['U', 'n', 'a', 'b', 'l']"
2,bad,"['U', 'n', 'a', 'b', 'l']"
3,bad,"['T', 'h', 'e', 'r', 'e']"
4,bad,"['U', 'n', 'a', 'b', 'l']"
5,bad,"['B', 'a', 's', 'e', 'd']"
6,good,"['A', 'C', 'F', 'G', 'I']"
7,good,"['D', 'F', 'C', 'B', 'E']"
8,bad,"['U', 'n', 'a', 'b', 'l']"
9,bad,"['N', 'o', 't', 'e', 'n']"
10,good,"['A', 'B', 'C', 'D', 'E']"
11,bad,"['0', '0', '2', '8']"
12,good,"['C', 'F', 'G', 'H', 'L']"
13,bad,"['B', 'a', 's', 'e', 'd']"
14,bad,[]
15,bad,"['H', 'o', 'w', 'e', 'v']"
16,good,"['C', 'F', 'G', 'L', 'M']"
17,good,"['K', 'I', 'G', 'H', 'L']"
18,bad,"['U', 'n', 'a', 'b', 'l']"
19,good,"['C', 'F', 'G', 'L', 'M']"
20,bad,"['I', 'n', 't', 'h', 'e']"
21,bad,"['U', 'n', 'a', 'b', 'l']"
22,good,"['D', 'F', 'G', 'J', 'L']"
23,bad,"['T', 'h', 'e', 'r', 'e']"
24,bad,"['I', 'f', 'w', 'e', 'w']"
25,good,"['C', 'D', 'F', 'G', 'L']"
26,bad,"['U', 'n', 'a', 'b', 'l']"
27,bad,"['a', 'r', 'o', 'u', 'g']"
28,bad,"['W', 'i', 't', 'h', 'o']"
29,bad,"['U', 'n', 'a', 'b', 'l']"
30,good,"['D', 'I', 'C', 'A', 'B']"
31,bad,"['U', 'n', 'a', 'b', 'l']"
32,bad,"['U', 'n', 'a', 'b', 'l']"
33,bad,"['U', 'n', 'a', 'b', 'l']"
34,bad,"['U', 'n', 'a', 'b', 'l']"
35,bad,"['U', 'n', 'a', 'b', 'l']"
36,bad,"['B', 'a', 's', 'e', 'd']"
37,bad,"['T', 'h', 'e', 'r', 'e']"
38,bad,"['U', 'n', 'a', 'b', 'l']"
39,good,"['C', 'G', 'H', 'L', 'F']"
40,bad,"['U', 'n', 'a', 'b', 'l']"
41,bad,"['0', '9', '5', '9']"
42,bad,"['U', 'n', 'a', 'b', 'l']"
43,bad,"['U', 'n', 'a', 'b', 'l']"
44,bad,"['U', 'n', 'a', 'b', 'l']"
45,bad,"['U', 'n', 'a', 'b', 'l']"
46,bad,"['U', 'n', 'a', 'b', 'l']"
47,good,"['C', 'D', 'F', 'G', 'I']"
48,bad,"['U', 'n', 'a', 'b', 'l']"
49,good,"['A', 'B', 'C', 'D', 'E']"
50,bad,"['U', 'n', 'a', 'b', 'l']"
51,bad,[]
52,bad,"['U', 'n', 'a', 'b', 'l']"
53,good,"['C', 'D', 'F', 'I', 'K']"
54,good,"['A', 'B', 'C', 'D', 'E']"
55,bad,"['U', 'n', 'a', 'b', 'l']"
56,bad,['4']
57,bad,[]
58,good,"['A', 'B', 'C', 'D', 'E']"
59,bad,"['T', 'h', 'e', 'r', 'e']"
60,bad,"['U', 'n', 'a', 'b', 'l']"
61,bad,"['U', 'n', 'a', 'b', 'l']"
62,bad,"['U', 'n', 'a', 'b', 'l']"
63,good,"['D', 'F', 'G', 'H', 'I']"
64,good,"['A', 'C', 'F', 'I', 'K']"
65,bad,"['U', 'n', 'a', 'b', 'l']"
66,bad,"['U', 'n', 'a', 'b', 'l']"
67,bad,"['U', 'n', 'a', 'b', 'l']"
68,bad,"['T', 'h', 'e', 'r', 'e']"
69,bad,"['U', 'n', 'a', 'b', 'l']"
70,bad,"['U', 'n', 'a', 'b', 'l']"
71,bad,"['U', 'n', 'a', 'b', 'l']"
72,bad,"['B', 'a', 's', 'e', 'd']"
73,bad,"['U', 'n', 'a', 'b', 'l']"
74,bad,"['U', 'n', 'a', 'b', 'l']"
75,bad,"['U', 'n', 'a', 'b', 'l']"
76,good,"['A', 'D', 'E', 'I', 'K']"
77,bad,"['U', 'n', 'a', 'b', 'l']"
78,bad,"['U', 'n', 'a', 'b', 'l']"
79,good,"['A', 'C', 'H', 'I', 'M']"
80,good,"['C', 'D', 'H', 'K', 'L']"
81,bad,"['T', 'h', 'e', 'r', 'e']"
82,bad,"['B', 'a', 's', 'e', 'd']"
83,bad,"['U', 'n', 'a', 'b', 'l']"
84,bad,"['U', 'n', 'a', 'b', 'l']"
85,bad,"['T', 'o', 'g', 'e', 't']"
86,unsolvable,"['C', 'a', 'n', 'n', 'o']"
87,bad,"['U', 'n', 'a', 'b', 'l']"
88,bad,"['U', 'n', 'a', 'b', 'l']"
89,good,"['A', 'C', 'F', 'G', 'M']"
90,bad,"['T', 'h', 'e', 'r', 'e']"
91,bad,"['T', 'h', 'e', 'r', 'e']"
92,good,"['C', 'D', 'F', 'G', 'H']"
93,good,"['A', 'B', 'C', 'D', 'E']"
94,bad,"['T', 'h', 'e', 'r', 'e']"
95,good,"['A', 'B', 'C', 'D', 'E']"
96,good,"['A', 'B', 'C', 'D', 'E']"
97,bad,"['U', 'n', 'a', 'b', 'l']"
98,bad,"['U', 'n', 'a', 'b', 'l']"
99,good,"['A', 'D', 'F', 'B', 'C']"
