index,good/bad/unsolvable,reply
0,bad,"['C', 'a', 'n', 'n', 'o']"
1,good,"['M', 'K', 'J', 'H', 'I']"
2,bad,"['W', 'i', 't', 'h', 'o']"
3,bad,"['C', 'a', 'n', 'n', 'o']"
4,bad,"['T', 'h', 'e', 'r', 'e']"
5,bad,"['T', 'h', 'e', 'r', 'e']"
6,bad,"['W', 'i', 't', 'h', 'o']"
7,good,"['C', 'F', 'G', 'I', 'K']"
8,bad,"['T', 'h', 'e', 'r', 'e']"
9,bad,"['n', 'o', 't', 'p', 'o']"
10,bad,"['T', 'h', 'e', 'r', 'e']"
11,bad,"['W', 'i', 't', 'h', 'o']"
12,bad,"['W', 'i', 't', 'h', 'o']"
13,good,"['A', 'B', 'C', 'D', 'E']"
14,bad,"['n', 'o', 't', 'p', 'o']"
15,good,"['A', 'D', 'F', 'H', 'J']"
16,good,"['M', 'L', 'H', 'F', 'G']"
17,good,"['D', 'I', 'G', 'K', 'C']"
18,good,"['D', 'C', 'M', 'K', 'J']"
19,good,"['D', 'C', 'H', 'M', 'L']"
20,bad,"['W', 'i', 't', 'h', 'o']"
21,good,"['M', 'L', 'K', 'J', 'I']"
22,good,"['D', 'F', 'G', 'J', 'L']"
23,good,"['D', 'A', 'F', 'J', 'I']"
24,good,"['D', 'C', 'A', 'G', 'H']"
25,bad,"['W', 'i', 't', 'h', 'o']"
26,good,"['L', 'M', 'D', 'C', 'A']"
27,good,"['M', 'K', 'I', 'F', 'H']"
28,bad,"['H', 'o', 'w', 'e', 'v']"
29,bad,"['n', 'o', 't', 'p', 'o']"
30,good,"['M', 'L', 'G', 'C', 'A']"
31,good,"['M', 'K', 'I', 'F', 'D']"
32,bad,"['U', 'n', 'a', 'b', 'l']"
33,bad,"['W', 'i', 't', 'h', 'o']"
34,bad,"['n', 'o', 't', 'p', 'o']"
35,bad,"['T', 'h', 'e', 'q', 'u']"
36,good,"['H', 'I', 'J', 'K', 'M']"
37,good,"['G', 'F', 'C', 'M', 'J']"
38,good,"['M', 'K', 'F', 'H', 'C']"
39,bad,"['T', 'h', 'e', 'r', 'e']"
40,good,"['D', 'I', 'C', 'F', 'M']"
41,good,"['C', 'D', 'F', 'H', 'I']"
42,good,"['D', 'G', 'J', 'C', 'K']"
43,bad,"['H', 'o', 'w', 'e', 'v']"
44,good,"['M', 'L', 'K', 'H', 'I']"
45,bad,"['n', 'o', 't', 'p', 'o']"
46,bad,"['n', 'o', 't', 'p', 'o']"
47,bad,"['T', 'h', 'e', 'r', 'e']"
48,good,"['M', 'L', 'F', 'G', 'C']"
49,bad,"['W', 'i', 't', 'h', 'o']"
50,good,"['L', 'K', 'J', 'C', 'I']"
51,bad,"['T', 'h', 'e', 'r', 'e']"
52,bad,"['n', 'o', 't', 'p', 'o']"
53,bad,"['H', 'o', 'w', 'e', 'v']"
54,good,"['K', 'D', 'H', 'J', 'L']"
55,good,"['A', 'B', 'C', 'D', 'E']"
56,good,"['D', 'E', 'F', 'J', 'K']"
57,bad,"['H', 'o', 'w', 'e', 'v']"
58,bad,"['N', 'o', 't', 'p', 'o']"
59,bad,"['T', 'h', 'e', 'r', 'e']"
60,bad,"['W', 'i', 't', 'h', 'o']"
61,good,"['M', 'L', 'K', 'I', 'H']"
62,good,"['L', 'M', 'H', 'K', 'I']"
63,good,"['C', 'L', 'D', 'A', 'F']"
64,bad,"['G', 'i', 'v', 'e', 'n']"
65,good,"['D', 'C', 'H', 'F', 'I']"
66,good,"['D', 'A', 'C', 'F', 'H']"
67,bad,"['G', 'i', 'v', 'e', 'n']"
68,good,"['F', 'C', 'D', 'G', 'H']"
69,bad,"['H', 'o', 'w', 'e', 'v']"
70,bad,"['T', 'h', 'e', 'r', 'e']"
71,bad,"['t', 'h', 'e', 'f', 'i']"
72,bad,"['H', 'o', 'w', 'e', 'v']"
73,good,"['C', 'F', 'D', 'G', 'B']"
74,good,"['C', 'A', 'F', 'I', 'K']"
75,good,"['D', 'I', 'L', 'H', 'M']"
76,good,"['C', 'D', 'F', 'G', 'H']"
77,bad,"['H', 'o', 'w', 'e', 'v']"
78,good,"['A', 'I', 'F', 'K', 'G']"
79,bad,"['T', 'o', 'a', 'c', 'c']"
80,good,"['C', 'H', 'K', 'D', 'M']"
81,bad,"['T', 'o', 'd', 'e', 't']"
82,good,"['A', 'H', 'F', 'G', 'D']"
83,bad,"['W', 'i', 't', 'h', 'o']"
84,bad,"['W', 'i', 't', 'h', 'o']"
85,good,"['D', 'C', 'A', 'B', 'F']"
86,unsolvable,"['n', 'o', 't', 'p', 'r']"
87,bad,"['T', 'h', 'i', 's', 'q']"
88,good,"['L', 'M', 'C', 'H', 'J']"
89,bad,"['W', 'i', 't', 'h', 'o']"
90,bad,"['T', 'h', 'e', 'r', 'e']"
91,bad,"['H', 'o', 'w', 'e', 'v']"
92,good,"['C', 'G', 'H', 'M', 'A']"
93,bad,"['T', 'o', 'a', 'c', 'c']"
94,bad,"['H', 'o', 'w', 'e', 'v']"
95,good,"['M', 'L', 'H', 'G', 'D']"
96,good,"['A', 'C', 'D', 'F', 'H']"
97,bad,"['W', 'i', 't', 'h', 'o']"
98,bad,"['H', 'o', 'w', 'e', 'v']"
99,good,"['A', 'B', 'C', 'D', 'E']"
