prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1879.0,178.0,0.056369999999999996,0.01068,0.06705
1879.0,925.0,0.056369999999999996,0.0555,0.11187
1879.0,211.0,0.056369999999999996,0.01266,0.06903
1879.0,227.0,0.056369999999999996,0.013619999999999998,0.06999
1879.0,191.0,0.056369999999999996,0.01146,0.06783
1879.0,198.0,0.056369999999999996,0.011879999999999998,0.06824999999999999
1879.0,81.0,0.056369999999999996,0.00486,0.06122999999999999
1879.0,13.0,0.056369999999999996,0.00078,0.05715
1879.0,213.0,0.056369999999999996,0.01278,0.06914999999999999
1879.0,150.0,0.056369999999999996,0.009,0.06537
1879.0,212.0,0.056369999999999996,0.012719999999999999,0.06909
1879.0,107.0,0.056369999999999996,0.00642,0.06279
1879.0,239.0,0.056369999999999996,0.01434,0.07071
1879.0,950.0,0.056369999999999996,0.057,0.11337
1879.0,93.0,0.056369999999999996,0.00558,0.06195
1879.0,932.0,0.056369999999999996,0.05592,0.11229
1879.0,708.0,0.056369999999999996,0.04248,0.09885
1879.0,792.0,0.056369999999999996,0.04751999999999999,0.10388999999999998
1879.0,953.0,0.056369999999999996,0.05718,0.11355
1879.0,581.0,0.056369999999999996,0.03486,0.09123
1879.0,154.0,0.056369999999999996,0.00924,0.06561
1879.0,606.0,0.056369999999999996,0.036359999999999996,0.09272999999999999
1879.0,259.0,0.056369999999999996,0.01554,0.07191
1879.0,708.0,0.056369999999999996,0.04248,0.09885
1879.0,592.0,0.056369999999999996,0.035519999999999996,0.09189
1879.0,82.0,0.056369999999999996,0.00492,0.06129
1879.0,722.0,0.056369999999999996,0.04332,0.09969
1879.0,657.0,0.056369999999999996,0.039420000000000004,0.09579
1879.0,195.0,0.056369999999999996,0.011699999999999999,0.06806999999999999
1879.0,159.0,0.056369999999999996,0.00954,0.06591
1879.0,601.0,0.056369999999999996,0.036059999999999995,0.09242999999999998
1879.0,766.0,0.056369999999999996,0.04596,0.10233
1879.0,179.0,0.056369999999999996,0.01074,0.06711
1879.0,209.0,0.056369999999999996,0.012539999999999999,0.06891
1879.0,93.0,0.056369999999999996,0.00558,0.06195
1879.0,156.0,0.056369999999999996,0.00936,0.06573
1879.0,534.0,0.056369999999999996,0.03204,0.08840999999999999
1879.0,702.0,0.056369999999999996,0.04212,0.09849
1879.0,658.0,0.056369999999999996,0.039479999999999994,0.09584999999999999
1879.0,178.0,0.056369999999999996,0.01068,0.06705
1879.0,507.0,0.056369999999999996,0.03042,0.08678999999999999
1879.0,471.0,0.056369999999999996,0.028259999999999997,0.08463
1879.0,700.0,0.056369999999999996,0.042,0.09837
1879.0,233.0,0.056369999999999996,0.01398,0.07035
1879.0,770.0,0.056369999999999996,0.0462,0.10257
1879.0,101.0,0.056369999999999996,0.006059999999999999,0.06243
1879.0,203.0,0.056369999999999996,0.01218,0.06855
1879.0,212.0,0.056369999999999996,0.012719999999999999,0.06909
1879.0,758.0,0.056369999999999996,0.04548,0.10185
1879.0,87.0,0.056369999999999996,0.00522,0.06159
