,exp_name,dataset,k,fa,ra,pgu,pgi
0,20230817_145400_gpt-4_perturb,compas,1,0.0+/-0.0,0.0+/-0.0,0.1226+/-0.006,0.0345+/-0.0039
1,20230817_150359_gpt-4_perturb,credit,1,0.05+/-0.0218,0.05+/-0.0218,0.1959+/-0.0093,0.0246+/-0.0051
2,20230817_153537_gpt-4_perturb,adult,1,0.0+/-0.0,0.0+/-0.0,0.2458+/-0.0107,0.0134+/-0.0029
3,20230817_185051_gpt-4_perturb,compas,3,0.55+/-0.0341,0.16+/-0.0173,0.0755+/-0.0053,0.0968+/-0.0058
4,20230817_185328_gpt-4_perturb,credit,3,0.134+/-0.021,0.0893+/-0.0191,0.1611+/-0.0104,0.0801+/-0.0095
5,20230817_192804_gpt-4_perturb,adult,3,0.2233+/-0.017,0.0967+/-0.0151,0.2342+/-0.011,0.0484+/-0.0055
6,20230817_193047_gpt-4_perturb,compas,5,0.8938+/-0.0102,0.1562+/-0.0194,0.0204+/-0.0028,0.1264+/-0.0063
7,20230817_200819_gpt-4_perturb,credit,5,0.4265+/-0.0172,0.1143+/-0.0147,0.1119+/-0.0093,0.1456+/-0.011
8,20230817_200831_gpt-4_perturb,adult,5,0.2921+/-0.0188,0.1011+/-0.0128,0.2163+/-0.0123,0.0665+/-0.0084
9,20230818_113944_gpt-4_perturb,compas,1,nan+/-nan,nan+/-nan,0.168+/-0.0122,0.0489+/-0.0083
10,20230818_121437_gpt-4_perturb,credit,1,nan+/-nan,nan+/-nan,0.1862+/-0.0108,0.0344+/-0.0068
11,20230818_123128_gpt-4_perturb,adult,1,nan+/-nan,nan+/-nan,0.2528+/-0.0137,0.0205+/-0.0053
12,20230818_130657_gpt-4_perturb,compas,3,nan+/-nan,nan+/-nan,0.105+/-0.011,0.1326+/-0.0117
13,20230818_132343_gpt-4_perturb,credit,3,nan+/-nan,nan+/-nan,0.1603+/-0.0112,0.0719+/-0.0091
14,20230818_135412_gpt-4_perturb,adult,3,nan+/-nan,nan+/-nan,0.2465+/-0.0137,0.0574+/-0.0085
15,20230818_142057_gpt-4_perturb,compas,5,nan+/-nan,nan+/-nan,0.0295+/-0.006,0.1716+/-0.0126
16,20230818_145921_gpt-4_perturb,credit,5,nan+/-nan,nan+/-nan,0.1048+/-0.0103,0.1389+/-0.0122
17,20230818_171125_gpt-4_perturb,adult,5,nan+/-nan,nan+/-nan,0.2262+/-0.015,0.1006+/-0.012
