index,good/bad/unsolvable,reply
0,unsolvable,"['W', 'i', 't', 'h']"
1,good,"['C', 'B', 'D', 'A']"
2,good,"['B', 'A', 'C', 'D']"
3,good,"['B', 'A', 'C', 'D']"
4,good,"['C', 'A', 'D', 'B']"
5,good,"['A', 'B', 'C', 'D']"
6,good,"['A', 'C', 'B', 'D']"
7,good,"['C', 'A', 'D', 'B']"
8,good,"['A', 'B', 'C', 'D']"
9,unsolvable,"['A', 'B', 'C', 'D']"
10,unsolvable,"['D', 'B', 'A', 'C']"
11,good,"['C', 'A', 'B', 'D']"
12,unsolvable,"['C', 'B', 'D', 'A']"
13,good,"['A', 'C', 'D', 'B']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['A', 'D', 'B', 'C']"
16,good,"['A', 'D', 'B', 'C']"
17,good,"['B', 'A', 'C', 'D']"
18,unsolvable,"['T', 'h', 'e', 'r']"
19,good,"['A', 'D', 'C', 'B']"
20,good,"['B', 'A', 'C', 'D']"
21,good,"['C', 'B', 'A', 'D']"
22,good,"['B', 'C', 'A', 'D']"
23,good,"['A', 'B', 'D', 'C']"
24,good,"['B', 'A', 'D', 'C']"
25,good,"['B', 'C', 'A', 'D']"
26,good,"['C', 'A', 'B', 'D']"
27,good,"['A', 'C', 'D', 'B']"
28,good,"['A', 'C', 'D', 'B']"
29,unsolvable,"['D', 'A', 'C', 'B']"
30,good,"['A', 'C', 'B', 'D']"
31,good,"['B', 'A', 'C', 'D']"
32,good,"['B', 'C', 'A', 'D']"
33,good,"['C', 'B', 'A', 'D']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'C', 'D', 'B']"
36,good,"['B', 'A', 'C', 'D']"
37,good,"['A', 'B', 'C', 'D']"
38,good,"['A', 'C', 'B', 'D']"
39,good,"['A', 'B', 'C', 'D']"
40,good,"['A', 'B', 'C', 'D']"
41,good,"['A', 'B', 'C', 'D']"
42,good,"['A', 'B', 'C', 'D']"
43,good,"['A', 'D', 'B', 'C']"
44,good,"['A', 'D', 'B', 'C']"
45,good,"['B', 'A', 'C', 'D']"
46,unsolvable,"['C', 'B', 'A', 'D']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['A', 'B', 'C', 'D']"
49,good,"['B', 'A', 'D', 'C']"
50,good,"['B', 'C', 'A', 'D']"
51,good,"['C', 'A', 'D', 'B']"
52,unsolvable,"['D', 'B', 'A', 'C']"
53,good,"['A', 'C', 'B', 'D']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['C', 'B', 'D', 'A']"
56,good,"['C', 'B', 'A', 'D']"
57,good,"['A', 'B', 'C', 'D']"
58,good,"['B', 'A', 'C', 'D']"
59,good,"['A', 'B', 'C', 'D']"
60,good,"['A', 'B', 'C', 'D']"
61,good,"['B', 'C', 'A', 'D']"
62,unsolvable,"['D', 'C', 'B', 'A']"
63,good,"['A', 'C', 'D', 'B']"
64,good,"['A', 'C', 'D', 'B']"
65,good,"['C', 'A', 'D', 'B']"
66,unsolvable,"['A', 'D', 'B', 'C']"
67,good,"['D', 'A', 'C', 'B']"
68,good,"['A', 'C', 'B', 'D']"
69,good,"['A', 'B', 'C', 'D']"
70,good,"['C', 'A', 'D', 'B']"
71,good,"['A', 'C', 'B', 'D']"
72,good,"['C', 'A', 'D', 'B']"
73,good,"['A', 'B', 'C', 'D']"
74,good,"['A', 'B', 'C', 'D']"
75,good,"['A', 'C', 'D', 'B']"
76,unsolvable,"['A', 'B', 'C', 'D']"
77,good,"['C', 'A', 'B', 'D']"
78,good,"['B', 'A', 'C', 'D']"
79,good,"['C', 'A', 'B', 'D']"
80,good,"['A', 'D', 'B', 'C']"
81,good,"['B', 'A', 'C', 'D']"
82,good,"['B', 'C', 'A', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,good,"['A', 'D', 'B', 'C']"
85,good,"['A', 'C', 'B', 'D']"
86,good,"['B', 'A', 'C', 'D']"
87,good,"['A', 'B', 'C', 'D']"
88,good,"['B', 'C', 'A', 'D']"
89,good,"['D', 'A', 'C', 'B']"
90,good,"['B', 'A', 'C', 'D']"
91,good,"['B', 'C', 'A', 'D']"
92,good,"['A', 'B', 'C', 'D']"
93,good,"['A', 'D', 'C', 'B']"
94,good,"['A', 'C', 'B', 'D']"
95,good,"['B', 'A', 'D', 'C']"
96,good,"['A', 'B', 'D', 'C']"
97,good,"['C', 'A', 'D', 'B']"
98,good,"['A', 'B', 'C', 'D']"
99,good,"['A', 'B', 'C', 'D']"
