Method,FA_3,RA_3,PGU_3,PGI_3,Dataset,Model
sg,1.0+/-0.0,1.0+/-0.0,0.059+/-0.003,0.106+/-0.005,compas,lr
sg,,,0.095+/-0.008,0.15+/-0.011,compas,ann_l
sg,0.999+/-0.001,0.999+/-0.001,0.056+/-0.006,0.221+/-0.011,adult,lr
sg,,,0.079+/-0.011,0.229+/-0.014,adult,ann_l
sg,,,,,german,lr
sg,,,,,german,ann_l
sg,,,,,heloc,lr
sg,,,,,heloc,ann_l
sg,1.0+/-0.0,1.0+/-0.0,0.065+/-0.005,0.195+/-0.009,credit,lr
sg,,,0.071+/-0.008,0.173+/-0.01,credit,ann_l
sg,1.0+/-0.0,1.0+/-0.0,0.01+/-0.0,0.042+/-0.0,blood,lr
sg,,,0.06+/-0.009,0.117+/-0.013,blood,ann_l
