Method,PGU_3,PGI_3,Dataset,Model,FA_3,RA_3
shap,,,compas,ann_xl,,
lime,,,compas,ann_xl,,
sg,,,compas,ann_xl,,
ig,,,compas,ann_xl,,
itg,,,compas,ann_xl,,
grad,,,compas,ann_xl,,
random,,,compas,ann_xl,,
shap,,,adult,ann_xl,,
lime,,,adult,ann_xl,,
sg,,,adult,ann_xl,,
ig,,,adult,ann_xl,,
itg,,,adult,ann_xl,,
grad,,,adult,ann_xl,,
random,,,adult,ann_xl,,
shap,,,german,lr,,
lime,,,german,lr,,
sg,,,german,lr,,
ig,,,german,lr,,
itg,,,german,lr,,
grad,,,german,lr,,
random,,,german,lr,,
shap,,,german,ann_l,,
lime,,,german,ann_l,,
sg,,,german,ann_l,,
ig,,,german,ann_l,,
itg,,,german,ann_l,,
grad,,,german,ann_l,,
random,,,german,ann_l,,
shap,,,heloc,lr,,
lime,,,heloc,lr,,
sg,,,heloc,lr,,
ig,,,heloc,lr,,
itg,,,heloc,lr,,
grad,,,heloc,lr,,
random,,,heloc,lr,,
shap,,,heloc,ann_l,,
lime,,,heloc,ann_l,,
sg,,,heloc,ann_l,,
ig,,,heloc,ann_l,,
itg,,,heloc,ann_l,,
grad,,,heloc,ann_l,,
random,,,heloc,ann_l,,
shap,,,credit,ann_xxl,,
lime,,,credit,ann_xxl,,
sg,,,credit,ann_xxl,,
ig,,,credit,ann_xxl,,
itg,,,credit,ann_xxl,,
grad,,,credit,ann_xxl,,
random,,,credit,ann_xxl,,
shap,0.118+/-0.015,0.095+/-0.013,blood,ann_xl,,
lime,0.064+/-0.012,0.145+/-0.015,blood,ann_xl,,
sg,0.064+/-0.011,0.146+/-0.015,blood,ann_xl,,
ig,0.066+/-0.012,0.144+/-0.015,blood,ann_xl,,
itg,0.095+/-0.013,0.117+/-0.014,blood,ann_xl,,
grad,0.063+/-0.011,0.147+/-0.015,blood,ann_xl,,
random,0.113+/-0.014,0.102+/-0.013,blood,ann_xl,,
shap,,,beauty,lr,,
lime,,,beauty,lr,,
sg,,,beauty,lr,,
ig,,,beauty,lr,,
itg,,,beauty,lr,,
grad,,,beauty,lr,,
random,,,beauty,lr,,
shap,,,beauty,ann_l,,
lime,,,beauty,ann_l,,
sg,,,beauty,ann_l,,
ig,,,beauty,ann_l,,
itg,,,beauty,ann_l,,
grad,,,beauty,ann_l,,
random,,,beauty,ann_l,,
