Method,FA_-1,RA_-1,PGU_-1,PGI_-1,Dataset,Model
itg,0.689+/-0.011,0.195+/-0.022,0.056+/-0.003,0.1+/-0.005,compas,lr
shap,0.674+/-0.012,0.198+/-0.025,0.058+/-0.004,0.098+/-0.005,compas,lr
itg,,,0.078+/-0.007,0.149+/-0.011,compas,ann_l
shap,,,0.086+/-0.008,0.146+/-0.011,compas,ann_l
itg,0.627+/-0.006,0.068+/-0.01,0.175+/-0.01,0.099+/-0.009,adult,lr
shap,0.658+/-0.006,0.102+/-0.01,0.139+/-0.009,0.127+/-0.01,adult,lr
itg,,,0.17+/-0.011,0.13+/-0.013,adult,ann_l
shap,,,0.145+/-0.011,0.148+/-0.013,adult,ann_l
itg,,,,,german,lr
shap,,,,,german,lr
itg,,,,,german,ann_l
shap,,,,,german,ann_l
itg,,,,,heloc,lr
shap,,,,,heloc,lr
itg,,,,,heloc,ann_l
shap,,,,,heloc,ann_l
itg,0.516+/-0.01,0.076+/-0.012,0.086+/-0.005,0.165+/-0.01,credit,lr
shap,0.528+/-0.01,0.087+/-0.012,0.088+/-0.005,0.162+/-0.01,credit,lr
itg,,,0.084+/-0.006,0.152+/-0.01,credit,ann_l
shap,,,0.09+/-0.006,0.146+/-0.011,credit,ann_l
itg,0.774+/-0.014,0.532+/-0.034,0.014+/-0.001,0.038+/-0.001,blood,lr
shap,0.772+/-0.014,0.511+/-0.033,0.015+/-0.001,0.038+/-0.001,blood,lr
itg,,,0.063+/-0.008,0.108+/-0.012,blood,ann_l
shap,,,0.066+/-0.009,0.107+/-0.012,blood,ann_l
