Method,PGU_3,PGI_3,Dataset,Model,FA_3,RA_3
shap,,,compas,ann_xl,,
lime,,,compas,ann_xl,,
sg,,,compas,ann_xl,,
ig,,,compas,ann_xl,,
itg,,,compas,ann_xl,,
grad,,,compas,ann_xl,,
random,,,compas,ann_xl,,
shap,0.229+/-0.013,0.082+/-0.011,adult,ann_xl,,
lime,0.082+/-0.01,0.232+/-0.013,adult,ann_xl,,
sg,0.082+/-0.01,0.232+/-0.013,adult,ann_xl,,
ig,0.082+/-0.01,0.233+/-0.013,adult,ann_xl,,
itg,0.231+/-0.014,0.08+/-0.01,adult,ann_xl,,
grad,0.082+/-0.01,0.232+/-0.013,adult,ann_xl,,
random,0.213+/-0.014,0.066+/-0.009,adult,ann_xl,,
shap,,,german,lr,,
lime,,,german,lr,,
sg,,,german,lr,,
ig,,,german,lr,,
itg,,,german,lr,,
grad,,,german,lr,,
random,,,german,lr,,
shap,,,german,ann_l,,
lime,,,german,ann_l,,
sg,,,german,ann_l,,
ig,,,german,ann_l,,
itg,,,german,ann_l,,
grad,,,german,ann_l,,
random,,,german,ann_l,,
shap,,,heloc,lr,,
lime,,,heloc,lr,,
sg,,,heloc,lr,,
ig,,,heloc,lr,,
itg,,,heloc,lr,,
grad,,,heloc,lr,,
random,,,heloc,lr,,
shap,,,heloc,ann_l,,
lime,,,heloc,ann_l,,
sg,,,heloc,ann_l,,
ig,,,heloc,ann_l,,
itg,,,heloc,ann_l,,
grad,,,heloc,ann_l,,
random,,,heloc,ann_l,,
shap,,,credit,lr,,
lime,,,credit,lr,,
sg,,,credit,lr,,
ig,,,credit,lr,,
itg,,,credit,lr,,
grad,,,credit,lr,,
random,,,credit,lr,,
shap,,,credit,ann_l,,
lime,,,credit,ann_l,,
sg,,,credit,ann_l,,
ig,,,credit,ann_l,,
itg,,,credit,ann_l,,
grad,,,credit,ann_l,,
random,,,credit,ann_l,,
shap,,,blood,lr,,
lime,,,blood,lr,,
sg,,,blood,lr,,
ig,,,blood,lr,,
itg,,,blood,lr,,
grad,,,blood,lr,,
random,,,blood,lr,,
shap,,,blood,ann_l,,
lime,,,blood,ann_l,,
sg,,,blood,ann_l,,
ig,,,blood,ann_l,,
itg,,,blood,ann_l,,
grad,,,blood,ann_l,,
random,,,blood,ann_l,,
shap,,,beauty,lr,,
lime,,,beauty,lr,,
sg,,,beauty,lr,,
ig,,,beauty,lr,,
itg,,,beauty,lr,,
grad,,,beauty,lr,,
random,,,beauty,lr,,
shap,,,beauty,ann_l,,
lime,,,beauty,ann_l,,
sg,,,beauty,ann_l,,
ig,,,beauty,ann_l,,
itg,,,beauty,ann_l,,
grad,,,beauty,ann_l,,
random,,,beauty,ann_l,,
