Method,PGU_3,PGI_3,Dataset,Model,FA_3,RA_3
shap,,,compas,ann_xl,,
lime,,,compas,ann_xl,,
sg,,,compas,ann_xl,,
ig,,,compas,ann_xl,,
itg,,,compas,ann_xl,,
grad,,,compas,ann_xl,,
random,,,compas,ann_xl,,
shap,,,adult,ann_xl,,
lime,,,adult,ann_xl,,
sg,,,adult,ann_xl,,
ig,,,adult,ann_xl,,
itg,,,adult,ann_xl,,
grad,,,adult,ann_xl,,
random,,,adult,ann_xl,,
shap,,,german,lr,,
lime,,,german,lr,,
sg,,,german,lr,,
ig,,,german,lr,,
itg,,,german,lr,,
grad,,,german,lr,,
random,,,german,lr,,
shap,,,german,ann_l,,
lime,,,german,ann_l,,
sg,,,german,ann_l,,
ig,,,german,ann_l,,
itg,,,german,ann_l,,
grad,,,german,ann_l,,
random,,,german,ann_l,,
shap,0.106+/-0.01,0.036+/-0.005,heloc,ann_xl,,
lime,0.1+/-0.01,0.048+/-0.006,heloc,ann_xl,,
sg,0.087+/-0.009,0.07+/-0.008,heloc,ann_xl,,
ig,0.087+/-0.009,0.069+/-0.008,heloc,ann_xl,,
itg,0.104+/-0.01,0.043+/-0.006,heloc,ann_xl,,
grad,0.087+/-0.009,0.07+/-0.008,heloc,ann_xl,,
random,,,heloc,ann_xl,,
shap,,,credit,ann_xxl,,
lime,,,credit,ann_xxl,,
sg,,,credit,ann_xxl,,
ig,,,credit,ann_xxl,,
itg,,,credit,ann_xxl,,
grad,,,credit,ann_xxl,,
random,,,credit,ann_xxl,,
shap,,,blood,ann_xl,,
lime,,,blood,ann_xl,,
sg,,,blood,ann_xl,,
ig,,,blood,ann_xl,,
itg,,,blood,ann_xl,,
grad,,,blood,ann_xl,,
random,,,blood,ann_xl,,
shap,,,beauty,lr,,
lime,,,beauty,lr,,
sg,,,beauty,lr,,
ig,,,beauty,lr,,
itg,,,beauty,lr,,
grad,,,beauty,lr,,
random,,,beauty,lr,,
shap,,,beauty,ann_l,,
lime,,,beauty,ann_l,,
sg,,,beauty,ann_l,,
ig,,,beauty,ann_l,,
itg,,,beauty,ann_l,,
grad,,,beauty,ann_l,,
random,,,beauty,ann_l,,
