Method,FA_3,RA_3,PGU_3,PGI_3,Dataset,Model
sg,1.0+/-0.0,1.0+/-0.0,0.059+/-0.003,0.106+/-0.005,compas,lr
ig,1.0+/-0.0,1.0+/-0.0,0.059+/-0.003,0.106+/-0.005,compas,lr
shap,0.462+/-0.022,0.204+/-0.031,0.092+/-0.005,0.076+/-0.004,compas,lr
lime,0.776+/-0.027,0.708+/-0.036,0.068+/-0.003,0.102+/-0.005,compas,lr
sg,,,0.095+/-0.008,0.149+/-0.011,compas,ann_l
ig,,,0.096+/-0.008,0.149+/-0.011,compas,ann_l
shap,,,0.133+/-0.011,0.123+/-0.01,compas,ann_l
lime,,,0.129+/-0.011,0.131+/-0.011,compas,ann_l
sg,0.999+/-0.001,0.999+/-0.001,0.056+/-0.006,0.221+/-0.011,adult,lr
ig,1.0+/-0.0,1.0+/-0.0,0.056+/-0.006,0.221+/-0.011,adult,lr
shap,0.256+/-0.018,0.052+/-0.014,0.207+/-0.011,0.062+/-0.008,adult,lr
lime,0.664+/-0.015,0.633+/-0.019,0.069+/-0.007,0.219+/-0.011,adult,lr
sg,,,0.081+/-0.011,0.228+/-0.014,adult,ann_l
ig,,,0.082+/-0.011,0.228+/-0.014,adult,ann_l
shap,,,0.212+/-0.014,0.072+/-0.011,adult,ann_l
lime,,,0.104+/-0.012,0.222+/-0.014,adult,ann_l
sg,,,,,german,lr
ig,,,,,german,lr
shap,,,,,german,lr
lime,,,,,german,lr
sg,,,,,german,ann_l
ig,,,,,german,ann_l
shap,,,,,german,ann_l
lime,,,,,german,ann_l
sg,,,,,heloc,lr
ig,,,,,heloc,lr
shap,,,,,heloc,lr
lime,,,,,heloc,lr
sg,,,,,heloc,ann_l
ig,,,,,heloc,ann_l
shap,,,,,heloc,ann_l
lime,,,,,heloc,ann_l
sg,1.0+/-0.0,1.0+/-0.0,0.065+/-0.005,0.195+/-0.009,credit,lr
ig,1.0+/-0.0,1.0+/-0.0,0.065+/-0.005,0.195+/-0.009,credit,lr
shap,0.202+/-0.026,0.147+/-0.027,0.158+/-0.007,0.094+/-0.012,credit,lr
lime,0.662+/-0.002,0.592+/-0.003,0.074+/-0.006,0.193+/-0.009,credit,lr
sg,,,0.072+/-0.008,0.173+/-0.011,credit,ann_l
ig,,,0.074+/-0.008,0.172+/-0.01,credit,ann_l
shap,,,0.152+/-0.009,0.089+/-0.011,credit,ann_l
lime,,,0.077+/-0.008,0.172+/-0.01,credit,ann_l
sg,1.0+/-0.0,1.0+/-0.0,0.01+/-0.0,0.042+/-0.0,blood,lr
ig,1.0+/-0.0,1.0+/-0.0,0.01+/-0.0,0.042+/-0.0,blood,lr
shap,0.723+/-0.02,0.563+/-0.037,0.019+/-0.001,0.036+/-0.001,blood,lr
lime,0.917+/-0.0,0.917+/-0.0,0.011+/-0.0,0.042+/-0.0,blood,lr
sg,,,0.06+/-0.009,0.115+/-0.013,blood,ann_l
ig,,,0.061+/-0.009,0.116+/-0.013,blood,ann_l
shap,,,0.085+/-0.011,0.098+/-0.012,blood,ann_l
lime,,,0.078+/-0.009,0.098+/-0.012,blood,ann_l
