Method,PGU_3,PGI_3,Dataset,Model,FA_3,RA_3
shap,,,compas,ann_xl,,
lime,,,compas,ann_xl,,
sg,,,compas,ann_xl,,
ig,,,compas,ann_xl,,
itg,,,compas,ann_xl,,
grad,,,compas,ann_xl,,
random,,,compas,ann_xl,,
shap,,,adult,ann_xl,,
lime,,,adult,ann_xl,,
sg,,,adult,ann_xl,,
ig,,,adult,ann_xl,,
itg,,,adult,ann_xl,,
grad,,,adult,ann_xl,,
random,,,adult,ann_xl,,
shap,,,german,lr,,
lime,,,german,lr,,
sg,,,german,lr,,
ig,,,german,lr,,
itg,,,german,lr,,
grad,,,german,lr,,
random,,,german,lr,,
shap,,,german,ann_l,,
lime,,,german,ann_l,,
sg,,,german,ann_l,,
ig,,,german,ann_l,,
itg,,,german,ann_l,,
grad,,,german,ann_l,,
random,,,german,ann_l,,
shap,,,heloc,lr,,
lime,,,heloc,lr,,
sg,,,heloc,lr,,
ig,,,heloc,lr,,
itg,,,heloc,lr,,
grad,,,heloc,lr,,
random,,,heloc,lr,,
shap,,,heloc,ann_l,,
lime,,,heloc,ann_l,,
sg,,,heloc,ann_l,,
ig,,,heloc,ann_l,,
itg,,,heloc,ann_l,,
grad,,,heloc,ann_l,,
random,,,heloc,ann_l,,
shap,0.155+/-0.007,0.107+/-0.013,credit,ann_xl,,
lime,0.069+/-0.006,0.189+/-0.01,credit,ann_xl,,
sg,0.07+/-0.006,0.189+/-0.01,credit,ann_xl,,
ig,0.069+/-0.006,0.19+/-0.01,credit,ann_xl,,
itg,0.159+/-0.007,0.102+/-0.013,credit,ann_xl,,
grad,0.07+/-0.006,0.189+/-0.01,credit,ann_xl,,
random,0.184+/-0.01,0.057+/-0.007,credit,ann_xl,,
shap,,,blood,lr,,
lime,,,blood,lr,,
sg,,,blood,lr,,
ig,,,blood,lr,,
itg,,,blood,lr,,
grad,,,blood,lr,,
random,,,blood,lr,,
shap,,,blood,ann_l,,
lime,,,blood,ann_l,,
sg,,,blood,ann_l,,
ig,,,blood,ann_l,,
itg,,,blood,ann_l,,
grad,,,blood,ann_l,,
random,,,blood,ann_l,,
shap,,,beauty,lr,,
lime,,,beauty,lr,,
sg,,,beauty,lr,,
ig,,,beauty,lr,,
itg,,,beauty,lr,,
grad,,,beauty,lr,,
random,,,beauty,lr,,
shap,,,beauty,ann_l,,
lime,,,beauty,ann_l,,
sg,,,beauty,ann_l,,
ig,,,beauty,ann_l,,
itg,,,beauty,ann_l,,
grad,,,beauty,ann_l,,
random,,,beauty,ann_l,,
