Method,PGU_3,PGI_3,Dataset,Model,FA_3,RA_3
shap,0.106+/-0.008,0.106+/-0.008,compas,ann_xl,,
lime,0.063+/-0.005,0.14+/-0.009,compas,ann_xl,,
sg,0.063+/-0.005,0.14+/-0.009,compas,ann_xl,,
ig,0.063+/-0.005,0.14+/-0.009,compas,ann_xl,,
itg,0.105+/-0.008,0.105+/-0.008,compas,ann_xl,,
grad,0.063+/-0.005,0.14+/-0.009,compas,ann_xl,,
random,0.127+/-0.009,0.076+/-0.007,compas,ann_xl,,
shap,,,adult,lr,,
lime,,,adult,lr,,
sg,,,adult,lr,,
ig,,,adult,lr,,
itg,,,adult,lr,,
grad,,,adult,lr,,
random,,,adult,lr,,
shap,,,adult,ann_l,,
lime,,,adult,ann_l,,
sg,,,adult,ann_l,,
ig,,,adult,ann_l,,
itg,,,adult,ann_l,,
grad,,,adult,ann_l,,
random,,,adult,ann_l,,
shap,,,german,lr,,
lime,,,german,lr,,
sg,,,german,lr,,
ig,,,german,lr,,
itg,,,german,lr,,
grad,,,german,lr,,
random,,,german,lr,,
shap,,,german,ann_l,,
lime,,,german,ann_l,,
sg,,,german,ann_l,,
ig,,,german,ann_l,,
itg,,,german,ann_l,,
grad,,,german,ann_l,,
random,,,german,ann_l,,
shap,,,heloc,lr,,
lime,,,heloc,lr,,
sg,,,heloc,lr,,
ig,,,heloc,lr,,
itg,,,heloc,lr,,
grad,,,heloc,lr,,
random,,,heloc,lr,,
shap,,,heloc,ann_l,,
lime,,,heloc,ann_l,,
sg,,,heloc,ann_l,,
ig,,,heloc,ann_l,,
itg,,,heloc,ann_l,,
grad,,,heloc,ann_l,,
random,,,heloc,ann_l,,
shap,,,credit,lr,,
lime,,,credit,lr,,
sg,,,credit,lr,,
ig,,,credit,lr,,
itg,,,credit,lr,,
grad,,,credit,lr,,
random,,,credit,lr,,
shap,,,credit,ann_l,,
lime,,,credit,ann_l,,
sg,,,credit,ann_l,,
ig,,,credit,ann_l,,
itg,,,credit,ann_l,,
grad,,,credit,ann_l,,
random,,,credit,ann_l,,
shap,,,blood,lr,,
lime,,,blood,lr,,
sg,,,blood,lr,,
ig,,,blood,lr,,
itg,,,blood,lr,,
grad,,,blood,lr,,
random,,,blood,lr,,
shap,,,blood,ann_l,,
lime,,,blood,ann_l,,
sg,,,blood,ann_l,,
ig,,,blood,ann_l,,
itg,,,blood,ann_l,,
grad,,,blood,ann_l,,
random,,,blood,ann_l,,
shap,,,beauty,lr,,
lime,,,beauty,lr,,
sg,,,beauty,lr,,
ig,,,beauty,lr,,
itg,,,beauty,lr,,
grad,,,beauty,lr,,
random,,,beauty,lr,,
shap,,,beauty,ann_l,,
lime,,,beauty,ann_l,,
sg,,,beauty,ann_l,,
ig,,,beauty,ann_l,,
itg,,,beauty,ann_l,,
grad,,,beauty,ann_l,,
random,,,beauty,ann_l,,
