index,good/bad/unsolvable,reply
0,good,"['D', 'B', 'A', 'F', 'C']"
1,good,"['D', 'A', 'C', 'B', 'E']"
2,good,"['D', 'C', 'F', 'G', 'I']"
3,good,"['D', 'A', 'B', 'C', 'M']"
4,bad,"['U', 'n', 'a', 'b', 'l']"
5,good,"['D', 'C', 'B', 'A', 'J']"
6,good,"['D', 'A', 'B', 'C', 'G']"
7,bad,"['B', 'a', 's', 'e', 'd']"
8,bad,[]
9,good,"['D', 'E', 'A', 'B', 'C']"
10,good,"['D', 'F', 'C', 'E', 'M']"
11,good,"['D', 'I', 'A', 'B', 'E']"
12,good,"['A', 'D', 'E', 'F', 'G']"
13,good,"['D', 'A', 'B', 'C', 'E']"
14,good,"['D', 'A', 'C', 'B', 'F']"
15,good,"['A', 'D', 'G', 'I', 'K']"
16,good,"['A', 'D', 'F', 'I', 'K']"
17,good,"['D', 'C', 'B', 'A', 'E']"
18,good,"['D', 'B', 'A', 'E', 'F']"
19,good,"['D', 'A', 'E', 'C', 'K']"
20,bad,[]
21,good,"['D', 'A', 'E', 'F', 'M']"
22,good,"['A', 'D', 'E', 'F', 'G']"
23,good,"['D', 'A', 'C', 'F', 'G']"
24,good,"['D', 'F', 'C', 'B', 'A']"
25,good,"['D', 'A', 'C', 'F', 'B']"
26,good,"['D', 'A', 'B', 'C', 'F']"
27,good,"['D', 'C', 'A', 'L', 'M']"
28,good,"['D', 'A', 'B', 'F', 'H']"
29,good,"['D', 'F', 'G', 'A', 'C']"
30,good,"['D', 'F', 'A', 'B', 'C']"
31,good,"['D', 'F', 'G', 'A', 'C']"
32,good,"['A', 'D', 'B', 'C', 'E']"
33,good,"['A', 'B', 'C', 'D', 'E']"
34,good,"['D', 'A', 'C', 'E', 'G']"
35,good,"['D', 'A', 'C', 'F', 'M']"
36,good,"['D', 'A', 'C', 'E', 'F']"
37,good,"['D', 'A', 'E', 'C', 'B']"
38,good,"['A', 'D', 'E', 'F', 'G']"
39,good,"['D', 'C', 'A', 'E', 'F']"
40,good,"['A', 'D', 'C', 'E', 'F']"
41,good,"['D', 'B', 'A', 'G', 'C']"
42,good,"['D', 'E', 'F', 'I', 'J']"
43,good,"['A', 'B', 'C', 'D', 'E']"
44,good,"['A', 'D', 'B', 'I', 'F']"
45,good,"['D', 'B', 'C', 'A', 'E']"
46,bad,"['B', 'a', 's', 'e', 'd']"
47,good,"['A', 'B', 'C', 'D', 'E']"
48,good,"['D', 'A', 'E', 'F', 'G']"
49,good,"['A', 'D', 'C', 'B', 'M']"
50,good,"['D', 'C', 'A', 'B', 'M']"
51,good,"['D', 'A', 'C', 'F', 'I']"
52,good,"['D', 'A', 'C', 'B', 'F']"
53,good,"['D', 'A', 'B', 'G', 'F']"
54,good,"['D', 'C', 'K', 'A', 'E']"
55,good,"['D', 'E', 'I', 'F', 'C']"
56,good,"['D', 'A', 'C', 'H', 'E']"
57,good,"['D', 'B', 'A', 'E', 'F']"
58,good,"['D', 'I', 'G', 'A', 'B']"
59,good,"['D', 'A', 'E', 'F', 'G']"
60,good,"['D', 'C', 'F', 'A', 'E']"
61,good,"['D', 'A', 'C', 'F', 'E']"
62,good,"['D', 'A', 'C', 'B', 'E']"
63,good,"['D', 'E', 'G', 'I', 'K']"
64,good,"['D', 'F', 'A', 'C', 'B']"
65,good,"['D', 'A', 'E', 'M', 'C']"
66,good,"['D', 'A', 'B', 'C', 'E']"
67,good,"['D', 'A', 'F', 'E', 'C']"
68,good,"['A', 'D', 'H', 'I', 'M']"
69,good,"['D', 'A', 'E', 'F', 'B']"
70,good,"['D', 'A', 'E', 'F', 'M']"
71,good,"['A', 'D', 'B', 'G', 'M']"
72,good,"['D', 'A', 'B', 'C', 'E']"
73,good,"['D', 'A', 'C', 'F', 'L']"
74,good,"['D', 'A', 'C', 'G', 'I']"
75,good,"['D', 'C', 'A', 'F', 'I']"
76,good,"['D', 'F', 'G', 'H', 'I']"
77,good,"['A', 'D', 'E', 'B', 'F']"
78,good,"['D', 'A', 'F', 'E', 'C']"
79,good,"['D', 'B', 'A', 'E', 'F']"
80,good,"['A', 'D', 'C', 'F', 'M']"
81,good,"['D', 'C', 'A', 'K', 'I']"
82,good,"['D', 'E', 'G', 'H', 'K']"
83,good,"['A', 'D', 'F', 'H', 'I']"
84,good,"['D', 'A', 'B', 'C', 'M']"
85,good,"['D', 'C', 'A', 'B', 'E']"
86,unsolvable,"['U', 'n', 'a', 'b', 'l']"
87,good,"['D', 'A', 'E', 'F', 'I']"
88,good,"['D', 'A', 'C', 'B', 'E']"
89,good,"['D', 'A', 'I', 'M', 'H']"
90,good,"['D', 'C', 'F', 'G', 'A']"
91,good,"['D', 'A', 'B', 'C', 'H']"
92,good,"['D', 'A', 'M', 'C', 'F']"
93,good,"['D', 'C', 'A', 'B', 'E']"
94,good,"['A', 'D', 'B', 'C', 'E']"
95,good,"['D', 'E', 'F', 'G', 'I']"
96,good,"['D', 'A', 'B', 'C', 'E']"
97,good,"['A', 'D', 'E', 'F', 'M']"
98,good,"['D', 'A', 'B', 'I', 'M']"
99,good,"['D', 'B', 'C', 'F', 'H']"
