index,good/bad/unsolvable,reply
0,good,"['A', 'C', 'B', 'D']"
1,good,"['A', 'B', 'C', 'D']"
2,good,"['A', 'C', 'B', 'D']"
3,good,"['B', 'A', 'C', 'D']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['A', 'C', 'B', 'D']"
6,good,"['A', 'C', 'B', 'D']"
7,good,"['A', 'B', 'D', 'C']"
8,good,"['A', 'C', 'B', 'D']"
9,unsolvable,"['A', 'C', 'B', 'D']"
10,unsolvable,"['A', 'C', 'B', 'D']"
11,good,"['A', 'C', 'B', 'D']"
12,unsolvable,"['A', 'C', 'B', 'D']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['A', 'C', 'B', 'D']"
16,good,"['A', 'C', 'B', 'D']"
17,good,"['A', 'C', 'B', 'D']"
18,unsolvable,"['A', 'B', 'C', 'D']"
19,good,"['A', 'B', 'C', 'D']"
20,unsolvable,"['A', 'C', 'B', 'D']"
21,good,"['A', 'C', 'B', 'D']"
22,good,"['A', 'C', 'B', 'D']"
23,good,"['C', 'A', 'D', 'B']"
24,unsolvable,"['A', 'B', 'C', 'D']"
25,good,"['A', 'C', 'D', 'B']"
26,good,"['C', 'A', 'D', 'B']"
27,unsolvable,"['C', 'A', 'D', 'B']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['A', 'C', 'B', 'D']"
30,good,"['A', 'C', 'D', 'B']"
31,good,"['A', 'C', 'B', 'D']"
32,good,"['A', 'C', 'B', 'D']"
33,good,"['A', 'C', 'B', 'D']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'C', 'B', 'D']"
36,good,"['C', 'A', 'D', 'B']"
37,good,"['C', 'A', 'B', 'D']"
38,good,"['C', 'A', 'D', 'B']"
39,unsolvable,"['A', 'B', 'C', 'D']"
40,good,"['A', 'C', 'B', 'D']"
41,good,"['A', 'C', 'B', 'D']"
42,good,"['A', 'C', 'B', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['A', 'B', 'C', 'D']"
45,good,"['A', 'C', 'B', 'D']"
46,good,"['C', 'A', 'D', 'B']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['C', 'A', 'D', 'B']"
49,good,"['A', 'C', 'D', 'B']"
50,good,"['A', 'C', 'D', 'B']"
51,good,"['A', 'C', 'B', 'D']"
52,unsolvable,"['A', 'C', 'B', 'D']"
53,good,"['C', 'A', 'D', 'B']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['A', 'C', 'D', 'B']"
56,good,"['A', 'B', 'C', 'D']"
57,good,"['A', 'B', 'C', 'D']"
58,good,"['C', 'A', 'B', 'D']"
59,good,"['A', 'C', 'B', 'D']"
60,good,"['A', 'C', 'D', 'B']"
61,good,"['A', 'C', 'D', 'B']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,good,"['A', 'B', 'C', 'D']"
64,good,"['A', 'C', 'B', 'D']"
65,good,"['A', 'C', 'B', 'D']"
66,unsolvable,"['C', 'A', 'D', 'B']"
67,unsolvable,"['A', 'B', 'C', 'D']"
68,good,"['A', 'B', 'C', 'D']"
69,good,"['A', 'C', 'B', 'D']"
70,good,"['A', 'C', 'B', 'D']"
71,good,"['C', 'B', 'A', 'D']"
72,good,"['A', 'C', 'B', 'D']"
73,good,"['A', 'C', 'B', 'D']"
74,good,"['A', 'C', 'B', 'D']"
75,good,"['A', 'C', 'B', 'D']"
76,good,"['A', 'D', 'C', 'B']"
77,good,"['A', 'C', 'D', 'B']"
78,good,"['A', 'C', 'B', 'D']"
79,good,"['A', 'C', 'B', 'D']"
80,good,"['A', 'C', 'B', 'D']"
81,good,"['A', 'C', 'B', 'D']"
82,good,"['A', 'C', 'B', 'D']"
83,unsolvable,"['A', 'D', 'C', 'B']"
84,good,"['A', 'D', 'C', 'B']"
85,good,"['C', 'A', 'D', 'B']"
86,good,"['A', 'D', 'C', 'B']"
87,good,"['A', 'C', 'B', 'D']"
88,good,"['A', 'C', 'D', 'B']"
89,good,"['A', 'C', 'B', 'D']"
90,good,"['A', 'C', 'B', 'D']"
91,good,"['A', 'C', 'D', 'B']"
92,good,"['A', 'C', 'B', 'D']"
93,good,"['A', 'B', 'C', 'D']"
94,good,"['A', 'C', 'B', 'D']"
95,good,"['A', 'C', 'B', 'D']"
96,good,"['A', 'B', 'C', 'D']"
97,unsolvable,"['A', 'B', 'C', 'D']"
98,good,"['A', 'C', 'D', 'B']"
99,good,"['C', 'A', 'D', 'B']"
