index,good/bad/unsolvable,reply
0,good,"['A', 'B', 'F', 'I', 'J']"
1,good,"['A', 'F', 'E', 'J', 'B']"
2,good,"['A', 'C', 'D', 'G', 'I']"
3,good,"['A', 'F', 'J', 'B', 'E']"
4,good,"['A', 'I', 'B', 'F', 'J']"
5,good,"['A', 'B', 'C', 'D', 'E']"
6,good,"['A', 'J', 'B', 'C', 'D']"
7,good,"['A', 'G', 'B', 'E', 'F']"
8,good,"['A', 'F', 'B', 'J', 'H']"
9,good,"['A', 'E', 'H', 'F', 'D']"
10,bad,"['T', 'h', 'e', 'r', 'e']"
11,good,"['A', 'B', 'C', 'D', 'E']"
12,bad,"['T', 'h', 'e', 'r', 'e']"
13,good,"['A', 'D', 'G', 'B', 'E']"
14,good,"['A', 'D', 'G', 'I', 'F']"
15,good,"['A', 'E', 'F', 'H', 'J']"
16,good,"['A', 'E', 'F', 'H', 'I']"
17,good,"['A', 'B', 'C', 'D', 'E']"
18,good,"['A', 'B', 'C', 'D', 'E']"
19,good,"['A', 'G', 'E', 'F', 'I']"
20,bad,"['U', 'n', 'a', 'b', 'l']"
21,good,"['A', 'F', 'B', 'E', 'I']"
22,good,"['A', 'E', 'B', 'F', 'C']"
23,good,"['A', 'F', 'H', 'B', 'C']"
24,good,"['A', 'F', 'G', 'I', 'J']"
25,good,"['F', 'H', 'B', 'E', 'A']"
26,bad,"['T', 'h', 'e', 'r', 'e']"
27,good,"['A', 'B', 'D', 'E', 'G']"
28,good,"['A', 'B', 'E', 'F', 'H']"
29,good,"['A', 'F', 'B', 'C', 'D']"
30,good,"['A', 'C', 'D', 'G', 'I']"
31,good,"['A', 'B', 'F', 'H', 'I']"
32,good,"['A', 'C', 'D', 'G', 'I']"
33,bad,[]
34,good,"['A', 'C', 'G', 'B', 'D']"
35,good,"['A', 'D', 'G', 'F', 'H']"
36,good,"['A', 'C', 'G', 'I', 'J']"
37,good,"['A', 'D', 'G', 'I', 'J']"
38,good,"['A', 'B', 'D', 'F', 'G']"
39,good,"['A', 'E', 'F', 'G', 'I']"
40,good,"['A', 'F', 'E', 'B', 'H']"
41,good,"['A', 'B', 'D', 'G', 'J']"
42,good,"['A', 'C', 'D', 'G', 'I']"
43,bad,"['T', 'h', 'e', 'r', 'e']"
44,good,"['A', 'F', 'G', 'I', 'J']"
45,good,"['A', 'E', 'F', 'H', 'I']"
46,good,"['A', 'D', 'F', 'G', 'I']"
47,good,"['A', 'E', 'B', 'H', 'F']"
48,bad,"['0', '3', '9', '1']"
49,good,"['A', 'F', 'B', 'C', 'D']"
50,bad,"['A', 'F']"
51,good,"['A', 'B', 'H', 'I', 'F']"
52,good,"['A', 'D', 'G', 'I', 'B']"
53,good,"['A', 'B', 'C', 'D', 'E']"
54,good,"['A', 'E', 'B', 'H', 'J']"
55,good,"['A', 'F', 'D', 'G', 'I']"
56,good,"['A', 'B', 'E', 'F', 'H']"
57,good,"['A', 'B', 'C', 'D', 'E']"
58,bad,"['T', 'h', 'e', 'r', 'e']"
59,good,"['A', 'B', 'F', 'G', 'I']"
60,bad,"['W', 'i', 't', 'h', 'o']"
61,good,"['A', 'G', 'I', 'B', 'E']"
62,good,"['A', 'G', 'B', 'F', 'H']"
63,good,"['A', 'G', 'B', 'C', 'H']"
64,bad,"['U', 'n', 'a', 'b', 'l']"
65,good,"['A', 'B', 'C', 'G', 'J']"
66,good,"['B', 'E', 'A', 'F', 'H']"
67,good,"['A', 'B', 'C', 'D', 'E']"
68,good,"['A', 'B', 'C', 'D', 'E']"
69,good,"['A', 'B', 'E', 'F', 'J']"
70,bad,['J']
71,good,"['A', 'C', 'D', 'E', 'I']"
72,good,"['A', 'B', 'C', 'D', 'E']"
73,good,"['A', 'B', 'G', 'F', 'E']"
74,good,"['A', 'F', 'B', 'C', 'D']"
75,unsolvable,"['C', 'a', 'n', 'n', 'o']"
76,good,"['A', 'E', 'B', 'C', 'D']"
77,good,"['A', 'C', 'D', 'E', 'G']"
78,bad,[]
79,good,"['A', 'G', 'I', 'B', 'C']"
80,good,"['A', 'D', 'I', 'F', 'G']"
81,good,"['A', 'F', 'E', 'C', 'D']"
82,good,"['A', 'G', 'B', 'F', 'H']"
83,good,"['A', 'B', 'F', 'G', 'I']"
84,good,"['A', 'F', 'B', 'C', 'D']"
85,good,"['A', 'B', 'E', 'F', 'G']"
86,good,"['A', 'B', 'H', 'F', 'E']"
87,unsolvable,"['W', 'i', 't', 'h', 'o']"
88,good,"['A', 'F', 'H', 'D', 'I']"
89,good,"['A', 'B', 'C', 'D', 'E']"
90,good,"['A', 'B', 'E', 'H', 'I']"
91,good,"['A', 'B', 'D', 'G', 'I']"
92,bad,[]
93,good,"['A', 'F', 'E', 'H', 'J']"
94,good,"['A', 'E', 'F', 'I', 'J']"
95,good,"['A', 'B', 'F', 'H', 'J']"
96,good,"['A', 'D', 'B', 'E', 'F']"
97,bad,"['T', 'h', 'e', 'r', 'e']"
98,good,"['A', 'B', 'H', 'F', 'G']"
99,good,"['A', 'B', 'C', 'D', 'E']"
